AQI,Station_name,Time
171,"NISE Gwal Pahari, Gurugram, India",2023-12-19 09:00:00
172,"NISE Gwal Pahari, Gurugram, India",2023-12-19 10:00:00
154,"NISE Gwal Pahari, Gurugram, India",2023-12-19 17:00:00
158,"NISE Gwal Pahari, Gurugram, India",2023-12-19 18:00:00
161,"NISE Gwal Pahari, Gurugram, India",2023-12-19 19:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-12-19 21:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-20 05:00:00
171,"NISE Gwal Pahari, Gurugram, India",2023-12-20 06:00:00
174,"NISE Gwal Pahari, Gurugram, India",2023-12-20 07:00:00
180,"NISE Gwal Pahari, Gurugram, India",2023-12-20 09:00:00
172,"NISE Gwal Pahari, Gurugram, India",2023-12-20 11:00:00
198,"NISE Gwal Pahari, Gurugram, India",2023-12-21 10:00:00
248,"NISE Gwal Pahari, Gurugram, India",2023-12-21 11:00:00
208,"NISE Gwal Pahari, Gurugram, India",2023-12-21 12:00:00
180,"NISE Gwal Pahari, Gurugram, India",2023-12-21 13:00:00
173,"NISE Gwal Pahari, Gurugram, India",2023-12-21 15:00:00
178,"NISE Gwal Pahari, Gurugram, India",2023-12-21 18:00:00
241,"NISE Gwal Pahari, Gurugram, India",2023-12-21 19:00:00
244,"NISE Gwal Pahari, Gurugram, India",2023-12-21 20:00:00
226,"NISE Gwal Pahari, Gurugram, India",2023-12-21 21:00:00
235,"NISE Gwal Pahari, Gurugram, India",2023-12-21 22:00:00
225,"NISE Gwal Pahari, Gurugram, India",2023-12-21 23:00:00
232,"NISE Gwal Pahari, Gurugram, India",2023-12-22 01:00:00
250,"NISE Gwal Pahari, Gurugram, India",2023-12-22 02:00:00
221,"NISE Gwal Pahari, Gurugram, India",2023-12-22 05:00:00
215,"NISE Gwal Pahari, Gurugram, India",2023-12-22 07:00:00
211,"NISE Gwal Pahari, Gurugram, India",2023-12-22 08:00:00
211,"NISE Gwal Pahari, Gurugram, India",2023-12-22 09:00:00
232,"NISE Gwal Pahari, Gurugram, India",2023-12-22 15:00:00
237,"NISE Gwal Pahari, Gurugram, India",2023-12-22 16:00:00
247,"NISE Gwal Pahari, Gurugram, India",2023-12-22 19:00:00
338,"NISE Gwal Pahari, Gurugram, India",2023-12-22 21:00:00
470,"NISE Gwal Pahari, Gurugram, India",2023-12-23 08:00:00
238,"NISE Gwal Pahari, Gurugram, India",2023-12-23 12:00:00
184,"NISE Gwal Pahari, Gurugram, India",2023-12-23 23:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-24 00:00:00
243,"NISE Gwal Pahari, Gurugram, India",2023-12-24 01:00:00
279,"NISE Gwal Pahari, Gurugram, India",2023-12-24 03:00:00
256,"NISE Gwal Pahari, Gurugram, India",2023-12-24 04:00:00
257,"NISE Gwal Pahari, Gurugram, India",2023-12-24 05:00:00
224,"NISE Gwal Pahari, Gurugram, India",2023-12-24 07:00:00
264,"NISE Gwal Pahari, Gurugram, India",2023-12-24 08:00:00
