,Date,AQI
537,2021-08-24,110.0
538,2021-08-25,123.0
539,2021-08-26,128.0
540,2021-08-27,159.0
541,2021-08-28,164.0
542,2021-08-29,169.0
543,2021-08-30,77.0
544,2021-08-31,66.0
545,2021-09-01,53.0
546,2021-09-02,84.0
547,2021-09-03,77.0
548,2021-09-04,74.0
549,2021-09-05,101.0
550,2021-09-06,112.0
551,2021-09-07,136.0
552,2021-09-08,69.0
553,2021-09-09,85.0
554,2021-09-10,102.0
555,2021-09-11,56.0
556,2021-09-12,72.0
557,2021-09-13,139.0
558,2021-09-14,82.0
559,2021-09-15,88.0
560,2021-09-16,80.0
561,2021-09-17,63.0
562,2021-09-18,75.0
563,2021-09-19,87.0
564,2021-09-20,84.0
565,2021-09-21,94.0
566,2021-09-22,72.0
567,2021-09-23,75.0
568,2021-09-24,71.0
569,2021-09-25,106.0
570,2021-09-26,95.0
571,2021-09-27,162.0
572,2021-09-28,121.0
573,2021-09-29,92.0
574,2021-09-30,102.0
575,2021-10-01,152.0
576,2021-10-02,126.0
577,2021-10-03,110.0
578,2021-10-04,120.0
579,2021-10-05,126.0
580,2021-10-06,116.0
581,2021-10-07,220.0
582,2021-10-08,234.0
583,2021-10-09,314.0
584,2021-10-10,261.0
585,2021-10-11,275.0
586,2021-10-12,240.0
587,2021-10-13,207.0
588,2021-10-14,210.0
589,2021-10-15,337.0
590,2021-10-16,348.0
591,2021-10-17,312.0
592,2021-10-18,41.0
593,2021-10-19,142.0
594,2021-10-20,277.0
595,2021-10-21,276.0
596,2021-10-22,206.0
597,2021-10-23,152.0
598,2021-10-24,116.0
599,2021-10-25,70.0
600,2021-10-26,184.0
601,2021-10-27,187.0
602,2021-10-28,303.0
603,2021-10-29,311.0
604,2021-10-30,303.0
605,2021-10-31,309.0
606,2021-11-01,263.0
607,2021-11-02,342.0
608,2021-11-03,362.0
609,2021-11-04,549.0
610,2021-11-05,656.0
611,2021-11-06,546.0
612,2021-11-07,370.0
613,2021-11-08,361.0
614,2021-11-09,352.0
615,2021-11-10,379.0
616,2021-11-11,455.0
617,2021-11-12,567.0
618,2021-11-13,409.0
619,2021-11-14,339.0
620,2021-11-15,366.0
621,2021-11-16,361.0
622,2021-11-17,386.0
623,2021-11-18,336.0
624,2021-11-19,358.0
625,2021-11-20,363.0
626,2021-11-21,339.0
627,2021-11-22,320.0
628,2021-11-23,386.0
629,2021-11-24,538.0
630,2021-11-25,395.0
631,2021-11-26,415.0
632,2021-11-27,343.0
633,2021-11-28,398.0
634,2021-11-29,390.0
635,2021-11-30,369.0
636,2021-12-01,366.0
637,2021-12-02,363.0
638,2021-12-03,340.0
639,2021-12-04,413.0
640,2021-12-05,312.0
641,2021-12-06,303.0
642,2021-12-07,198.0
643,2021-12-08,295.0
644,2021-12-09,302.0
645,2021-12-10,324.0
646,2021-12-11,307.0
647,2021-12-12,322.0
648,2021-12-13,354.0
